,Year,Manufacturer,Model,barrels08,charge240,cityA08U,cityCD,cityE,cityUF,co2A,combA08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCostA08,fuelType2,ghgScoreA,highwayA08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
91,2017,Nissan,Leaf,0.072,6.0,123.0,0.0,27.0,0.0,0.0,112.0,29.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,38428,False,0.0
92,2018,Hyundai,Ioniq Electric,0.06,4.0,150.0,0.0,22.0,0.0,0.0,136.0,25.0,0.0,0.0,,10,500.0,Electricity,10,122.0,0.0,28.0,0.0,39641,False,0.0
93,2017,Tesla,Model 3 Long Range,0.0648,12.0,130.0,0.0,25.0,0.0,0.0,125.0,26.0,0.0,0.0,,10,550.0,Electricity,10,119.0,0.0,28.0,0.0,39769,False,8.0
94,2018,Honda,Clarity EV,0.072,4.0,125.0,0.0,26.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,32.0,0.0,40044,False,0.0
95,2019,Chevrolet,Bolt EV,0.0672,9.0,127.0,0.0,26.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,40520,False,0.0
96,2019,Kia,Niro Electric,0.072,9.0,123.0,0.0,27.0,0.0,0.0,112.0,30.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,41060,False,0.0
97,2019,Honda,Clarity EV,0.072,4.0,125.0,0.0,26.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,32.0,0.0,41185,False,0.0
98,2019,Tesla,Model 3 Long Range,0.0624,10.0,136.0,0.0,24.0,0.0,0.0,130.0,25.0,0.0,0.0,,10,550.0,Electricity,10,123.0,0.0,27.0,0.0,41189,False,8.0
99,2019,Tesla,Model 3 Long Range AWD Performance,0.0696,10.0,120.0,0.0,27.0,0.0,0.0,116.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,30.0,0.0,41191,False,8.0
100,2021,Tesla,Model 3 Performance AWD,0.072,11.0,117.0,0.0,28.0,0.0,0.0,112.0,29.0,0.0,0.0,,10,650.0,Electricity,10,106.0,0.0,31.0,0.0,43402,False,9.0
101,2021,Ford,Mustang Mach-E AWD,0.0864,8.0,99.0,0.0,33.0,0.0,0.0,92.0,36.0,0.0,0.0,,10,750.0,Electricity,10,85.0,0.0,39.0,0.0,43602,False,0.0
102,2021,Kandi,K27,0.072,7.0,126.0,0.0,26.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,43640,False,0.0
103,2021,Chevrolet,Bolt EV,0.0696,10.0,127.0,0.0,26.0,0.0,0.0,117.0,28.0,0.0,0.0,,10,600.0,Electricity,10,107.0,0.0,31.0,0.0,43663,False,0.0
104,2021,Nissan,Leaf SV/SL (62 kW-hr battery pack),0.0768,11.0,114.0,0.0,29.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,700.0,Electricity,10,94.0,0.0,35.0,0.0,43666,False,0.0
105,2022,Chevrolet,Bolt EUV,0.0696,7.0,124.0,0.0,27.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,104.0,0.0,32.0,0.0,43954,False,0.0
106,2022,Chevrolet,Bolt EV,0.0672,7.0,130.0,0.0,25.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,108.0,0.0,30.0,0.0,43955,False,0.0
107,2022,Nissan,Leaf (62 kW-hr battery pack),0.0744,11.0,117.0,0.0,28.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,97.0,0.0,34.0,0.0,44447,False,0.0
108,2022,Polestar,2 Dual Motor,0.0912,8.0,93.0,0.0,35.0,0.0,0.0,89.0,37.0,0.0,0.0,,10,800.0,Electricity,10,84.0,0.0,40.0,0.0,44449,False,0.0
109,2022,Porsche,Taycan 4S Perf Battery Plus,0.1032,10.0,74.0,0.0,45.0,0.0,0.0,77.0,43.0,0.0,0.0,,10,900.0,Electricity,10,81.0,0.0,41.0,0.0,44788,False,0.0
110,2022,Porsche,Taycan Turbo,0.1104,10.0,71.0,0.0,45.0,0.0,0.0,73.0,46.0,0.0,0.0,,10,950.0,Electricity,10,75.0,0.0,43.0,0.0,44791,False,0.0
111,2022,Porsche,Taycan Turbo S Cross Turismo,0.1104,10.0,73.0,0.0,45.0,0.0,0.0,73.0,46.0,0.0,0.0,,10,950.0,Electricity,10,72.0,0.0,46.0,0.0,44796,False,0.0
112,2022,Kia,EV6 RWD (Long Range),0.0696,8.0,134.0,0.0,25.0,0.0,0.0,117.0,29.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,44926,False,0.0
113,2022,Kia,EV6 RWD (Standard Range),0.0696,6.0,136.0,0.0,25.0,0.0,0.0,117.0,29.0,0.0,0.0,,10,600.0,Electricity,10,100.0,0.0,34.0,0.0,44927,False,0.0
114,2022,Tesla,Model 3 RWD,0.06,10.0,137.0,0.0,24.0,0.0,0.0,132.0,25.0,0.0,0.0,,10,550.0,Electricity,10,126.0,0.0,26.0,0.0,45013,False,5.0
115,2023,Genesis,Electrified G80,0.0816,9.0,108.0,0.0,31.0,0.0,0.0,100.0,33.0,0.0,0.0,,10,700.0,Electricity,10,92.0,0.0,36.0,0.0,45999,False,0.0
116,2023,Kia,EV6 AWD GT,0.1008,8.0,84.0,0.0,39.0,0.0,0.0,79.0,42.0,0.0,0.0,,10,900.0,Electricity,10,73.0,0.0,45.0,0.0,46003,False,0.0
117,2023,Kia,EV6 Standard Range RWD,0.0672,6.0,138.0,0.0,24.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,46007,False,0.0
118,2023,Porsche,Taycan 4S Perf Battery Plus,0.1008,10.0,79.0,0.0,42.0,0.0,0.0,79.0,42.0,0.0,0.0,,10,900.0,Electricity,10,80.0,0.0,41.0,0.0,46020,False,0.0
119,2023,Porsche,Taycan Performance Battery,0.0984,9.0,79.0,0.0,42.0,0.0,0.0,82.0,40.0,0.0,0.0,,10,850.0,Electricity,10,87.0,0.0,38.0,0.0,46025,False,0.0
120,2023,Porsche,Taycan Turbo,0.1008,10.0,81.0,0.0,41.0,0.0,0.0,80.0,41.0,0.0,0.0,,10,900.0,Electricity,10,79.0,0.0,42.0,0.0,46026,False,0.0
121,2023,Porsche,Taycan Turbo Cross Turismo,0.1008,10.0,82.0,0.0,41.0,0.0,0.0,80.0,41.0,0.0,0.0,,10,850.0,Electricity,10,79.0,0.0,42.0,0.0,46027,False,0.0
122,2023,Tesla,Model 3 Long Range AWD,0.0624,11.0,134.0,0.0,25.0,0.0,0.0,130.0,25.0,0.0,0.0,,10,550.0,Electricity,10,126.0,0.0,26.0,0.0,46204,False,0.0
123,2011,Nissan,Leaf,0.0816,7.0,0.0,0.0,32.0,0.0,0.0,0.0,34.0,0.0,0.0,,-1,700.0,Electricity,-1,0.0,0.0,37.0,0.0,30979,False,0.0
124,2014,Honda,Fit EV,0.0696,4.0,131.0,0.0,26.0,0.0,0.0,118.0,29.0,0.0,0.0,,10,600.0,Electricity,10,104.0,0.0,32.0,0.0,33905,False,0.0
125,2015,Nissan,Leaf,0.072,8.0,126.0,0.0,26.0,0.0,0.0,113.0,29.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,34918,False,5.0
126,2014,Mercedes-Benz,B-Class Electric Drive,0.096,3.0,84.0,0.0,40.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,82.0,0.0,41.0,0.0,35247,False,0.0
127,2016,Ford,Focus Electric,0.0768,3.0,110.0,0.0,31.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,36978,False,0.0
128,2016,Nissan,Leaf (24 kW-hr battery pack),0.072,8.0,126.0,0.0,26.0,0.0,0.0,113.0,29.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,37066,False,5.0
129,2023,Hyundai,Ioniq 6 Long range AWD (20 inch Wheels),0.0792,7.0,111.0,0.0,31.0,0.0,0.0,103.0,32.0,0.0,0.0,,10,700.0,Electricity,10,94.0,0.0,35.0,0.0,46621,False,0.0
130,2017,Mercedes-Benz,B250e,0.096,3.0,85.0,0.0,39.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,81.0,0.0,41.0,0.0,38002,False,0.0
131,2017,Chevrolet,Bolt EV,0.0672,9.0,127.0,0.0,26.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,38187,False,0.0
132,2017,Volkswagen,e-Golf,0.0672,5.0,125.0,0.0,26.0,0.0,0.0,118.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,38549,False,0.0
133,2018,Kia,Soul Electric,0.0744,5.0,123.0,0.0,27.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,93.0,0.0,36.0,0.0,39322,False,0.0
134,2018,Volkswagen,e-Golf,0.0672,5.0,125.0,0.0,26.0,0.0,0.0,118.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,39871,False,0.0
135,2019,Kia,Soul Electric,0.0744,5.0,123.0,0.0,27.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,93.0,0.0,36.0,0.0,40768,False,0.0
136,2019,Tesla,Model 3 Mid Range,0.0648,10.0,127.0,0.0,26.0,0.0,0.0,122.0,27.0,0.0,0.0,,10,600.0,Electricity,10,116.0,0.0,28.0,0.0,41188,False,8.0
137,2019,Tesla,Model 3 Standard Range,0.0624,8.0,138.0,0.0,24.0,0.0,0.0,131.0,25.0,0.0,0.0,,10,550.0,Electricity,10,123.0,0.0,27.0,0.0,41415,False,0.0
138,2020,Tesla,Model 3 Standard Range Plus,0.0576,8.0,148.0,0.0,22.0,0.0,0.0,140.0,23.0,0.0,0.0,,10,500.0,Electricity,10,131.0,0.0,25.0,0.0,42278,False,0.0
139,2020,Nissan,Leaf (40 kW-hr battery pack),0.072,8.0,122.0,0.0,27.0,0.0,0.0,110.0,30.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,42561,False,0.0
140,2021,Polestar,2,0.0888,8.0,95.0,0.0,35.0,0.0,0.0,91.0,36.0,0.0,0.0,,10,750.0,Electricity,10,87.0,0.0,38.0,0.0,43294,False,0.0
141,2021,Tesla,Model 3 Long Range AWD,0.06,11.0,140.0,0.0,23.0,0.0,0.0,134.0,25.0,0.0,0.0,,10,550.0,Electricity,10,127.0,0.0,26.0,0.0,43401,False,9.0
142,2021,Ford,Mustang Mach-E RWD Extended,0.084,10.0,103.0,0.0,32.0,0.0,0.0,97.0,34.0,0.0,0.0,,10,750.0,Electricity,10,90.0,0.0,37.0,0.0,43605,False,0.0
143,2021,Porsche,Taycan Perf Battery Plus,0.108,10.0,71.0,0.0,47.0,0.0,0.0,74.0,44.0,0.0,0.0,,10,950.0,Electricity,10,80.0,0.0,42.0,0.0,43803,False,0.0
144,2021,Kia,Niro Electric,0.072,9.0,123.0,0.0,27.0,0.0,0.0,112.0,30.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,43820,False,0.0
145,2022,Audi,e-tron GT,0.0984,10.0,80.0,0.0,41.0,0.0,0.0,81.0,41.0,0.0,0.0,,10,850.0,Electricity,10,82.0,0.0,40.0,0.0,44776,False,0.0
146,2022,Porsche,Taycan 4 Cross Turismo,0.1056,10.0,76.0,0.0,44.0,0.0,0.0,76.0,44.0,0.0,0.0,,10,950.0,Electricity,10,76.0,0.0,43.0,0.0,44793,False,0.0
147,2021,Ford,Mustang Mach-E GT,0.096,10.0,90.0,0.0,37.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,77.0,0.0,43.0,0.0,44797,False,0.0
148,2022,Polestar,2 Single Motor,0.0744,8.0,113.0,0.0,29.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,100.0,0.0,33.0,0.0,44928,False,0.0
149,2022,Porsche,Taycan GTS ST,0.1008,10.0,80.0,0.0,41.0,0.0,0.0,80.0,42.0,0.0,0.0,,10,900.0,Electricity,10,79.0,0.0,42.0,0.0,45716,False,0.0
150,2023,Audi,e-tron GT,0.0984,10.0,80.0,0.0,41.0,0.0,0.0,81.0,41.0,0.0,0.0,,10,850.0,Electricity,10,82.0,0.0,40.0,0.0,45981,False,0.0
151,2023,Audi,RS e-tron GT,0.1008,10.0,79.0,0.0,42.0,0.0,0.0,80.0,41.0,0.0,0.0,,10,900.0,Electricity,10,81.0,0.0,41.0,0.0,45982,False,0.0
152,2023,Kia,EV6 Long Range AWD (19 inch tires),0.0744,8.0,119.0,0.0,28.0,0.0,0.0,108.0,31.0,0.0,0.0,,10,650.0,Electricity,10,97.0,0.0,34.0,0.0,46004,False,0.0
153,2023,Kia,Niro Electric,0.0696,7.0,128.0,0.0,26.0,0.0,0.0,115.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,32.0,0.0,46008,False,0.0
154,2023,Nissan,ARIYA EVO Plus/EMP Plus/PRM FWD 87kWh,0.0816,14.0,104.0,0.0,32.0,0.0,0.0,98.0,34.0,0.0,0.0,,10,700.0,Electricity,10,90.0,0.0,37.0,0.0,46014,False,0.0
155,2023,Porsche,Taycan 4S Performance Battery,0.096,9.0,83.0,0.0,40.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,83.0,0.0,40.0,0.0,46021,False,0.0
156,2013,Nissan,Leaf,0.0696,7.0,128.0,0.0,26.0,0.0,0.0,115.0,29.0,0.0,0.0,,10,600.0,Electricity,10,102.0,0.0,33.0,0.0,33558,False,4.0
157,2014,Ford,Focus Electric,0.0768,3.0,110.0,0.0,31.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,34130,False,0.0
158,2015,Kia,Soul Electric,0.0768,4.0,119.0,0.0,28.0,0.0,0.0,105.0,31.0,0.0,0.0,,10,650.0,Electricity,10,92.0,0.0,36.0,0.0,35601,False,0.0
159,2015,Mercedes-Benz,B-Class Electric Drive,0.096,3.0,85.0,0.0,39.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,81.0,0.0,41.0,0.0,35960,False,0.0
160,2016,Volkswagen,e-Golf,0.0696,3.0,125.0,0.0,26.0,0.0,0.0,115.0,29.0,0.0,0.0,,10,600.0,Electricity,10,105.0,0.0,32.0,0.0,36834,False,7.0
161,2023,Hyundai,Ioniq 6 Long range AWD (18 inch Wheels),0.0672,7.0,130.0,0.0,26.0,0.0,0.0,121.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,29.0,0.0,46620,False,0.0
162,2023,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),0.0576,7.0,153.0,0.0,21.0,0.0,0.0,140.0,23.0,0.0,0.0,,10,500.0,Electricity,10,127.0,0.0,27.0,0.0,46622,False,0.0
163,2023,Hyundai,Ioniq 6 Long range RWD (20 inch Wheels),0.0696,7.0,129.0,0.0,26.0,0.0,0.0,117.0,29.0,0.0,0.0,,10,600.0,Electricity,10,105.0,0.0,32.0,0.0,46623,False,0.0
164,2017,Kia,Optima Plug-in Hybrid,3.224983201,2.0,102.0,0.0,33.0,0.0,-1.0,103.0,33.0,0.0,0.0,4.0,10,0.0,Electricity,-1,104.0,0.0,32.0,0.0,38406,True,0.0
165,2017,Ford,C-MAX Energi Plug-In Hybrid,4.099308238,2.0,103.0,0.0,33.0,0.0,-1.0,95.0,35.0,0.0,0.0,4.0,10,0.0,Electricity,-1,86.0,0.0,38.0,0.0,38506,True,0.0
166,2017,Cadillac,CT6 Plug-In,4.925934656,4.0,56.0,0.0,59.0,0.0,-1.0,62.0,54.0,0.0,0.0,4.0,9,0.0,Electricity,-1,70.0,0.0,48.0,0.0,38650,True,0.0
167,2018,Chevrolet,Volt,1.739975182,4.0,113.0,0.0,29.0,0.0,-1.0,106.0,31.0,0.0,0.0,4.0,10,650.0,Electricity,-1,99.0,0.0,34.0,0.0,39190,False,0.0
168,2018,Kia,Niro Plug-in Hybrid,3.023125631,2.0,109.0,0.0,30.0,0.0,-1.0,104.0,32.0,0.0,0.0,4.0,10,0.0,Electricity,-1,99.0,0.0,34.0,0.0,39799,True,0.0
169,2018,Toyota,Prius Prime,2.629784508,2.0,145.0,0.0,23.0,0.0,-1.0,133.0,25.0,0.0,0.0,4.0,10,0.0,Electricity,-1,121.0,0.0,28.0,0.0,39882,True,0.0
170,2019,BMW,530e,6.484951266,2.0,69.0,0.0,47.0,0.0,-1.0,72.0,46.0,0.0,0.0,4.0,8,0.0,Electricity,-1,75.0,0.0,45.0,0.0,40556,True,0.0
171,2019,Ford,Fusion Energi Plug-in Hybrid,3.334899543,2.0,108.0,0.0,31.0,0.0,-1.0,103.0,33.0,0.0,0.0,4.0,10,0.0,Electricity,-1,97.0,0.0,35.0,0.0,40809,True,0.0
172,2019,Kia,Niro Plug-in Hybrid,3.023125631,2.0,109.0,0.0,30.0,0.0,-1.0,104.0,32.0,0.0,0.0,4.0,10,0.0,Electricity,-1,99.0,0.0,34.0,0.0,40863,True,0.0
173,2019,Chevrolet,Volt,1.713348371,4.0,113.0,0.0,29.0,0.0,-1.0,106.0,31.0,0.0,0.0,4.0,10,650.0,Electricity,-1,98.0,0.0,33.0,0.0,40924,False,2.0
174,2019,Toyota,Prius Prime,2.629784508,2.0,145.0,0.0,23.0,0.0,-1.0,133.0,25.0,0.0,0.0,4.0,10,0.0,Electricity,-1,121.0,0.0,28.0,0.0,41184,True,0.0
175,2020,Kia,Niro Plug-in Hybrid,3.023125631,2.0,109.0,0.0,30.0,0.0,-1.0,104.0,32.0,0.0,0.0,4.0,10,0.0,Electricity,-1,99.0,0.0,34.0,0.0,42354,True,0.0
176,2020,MINI,Cooper SE Countryman All4,5.849940074,2.0,73.0,0.0,45.0,0.0,-1.0,72.0,46.0,0.0,0.0,3.0,9,0.0,Electricity,-1,71.0,0.0,47.0,0.0,42371,True,0.0
177,2020,Honda,Clarity Plug-in Hybrid,1.971654758,2.0,117.0,0.0,29.0,0.0,-1.0,109.0,31.0,0.0,0.0,4.0,10,0.0,Electricity,-1,102.0,0.0,33.0,0.0,42480,True,0.0
178,2021,BMW,330e xDrive,6.50165907,3.0,64.0,0.0,54.0,0.0,-1.0,66.0,51.0,0.0,0.0,4.0,7,0.0,Electricity,-1,70.0,0.0,47.0,0.0,42570,True,0.0
179,2021,Toyota,Prius Prime,2.629784508,2.0,145.0,0.0,23.0,0.0,-1.0,133.0,25.0,0.0,0.0,4.0,10,0.0,Electricity,-1,121.0,0.0,28.0,0.0,42814,True,0.0
180,2021,Honda,Clarity Plug-in Hybrid,1.971654758,2.0,117.0,0.0,29.0,0.0,-1.0,109.0,31.0,0.0,0.0,4.0,10,0.0,Electricity,-1,102.0,0.0,33.0,0.0,42983,True,0.0
181,2021,Hyundai,Ioniq Plug-in Hybrid,2.494817319,2.0,123.0,0.0,28.0,0.0,-1.0,119.0,28.0,0.0,0.0,4.0,10,0.0,Electricity,-1,115.0,0.0,28.0,0.0,43725,True,0.0
182,2021,BMW,530e,6.076759944,3.0,58.0,0.0,50.0,0.0,-1.0,64.0,49.0,0.0,0.0,4.0,8,0.0,Electricity,-1,72.0,0.0,48.0,0.0,43738,True,0.0
183,2022,Audi,A7 TFSI e quattro,4.256578277,3.0,66.0,0.0,51.0,0.0,-1.0,70.0,48.0,0.0,0.0,4.0,8,0.0,Electricity,-1,75.0,0.0,44.0,0.0,44158,True,0.0
