Name,Measure,Measure Info,Geo Type Name,Geo Place Name,Data Value,Stations,Final Date
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,1.6,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,2.8,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,2.8,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,4.7,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,1.9,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.6,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,1.1,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,1.7,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,1.6,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.2,Annual,2011
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,2.9,Annual,2005
Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,2.4,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,3.2,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,2.2,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Citywide,New York City,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,1.8,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,2.1,Annual,2011
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,3.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Brooklyn,3.0,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Manhattan,4.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Queens,2.7,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Staten Island,2.3,Annual,2005
Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,Borough,Bronx,2.0,Annual,2011
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Staten Island,2.7,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,New York City,29.4,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,161.1,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Brooklyn,22.8,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Bronx,42.7,Annual,2013
Boiler Emissions- Total NOx Emissions,Number per km2,number,Citywide,New York City,27.4,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Staten Island,2.7,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Queens,15.6,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Bronx,39.5,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Brooklyn,22.8,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Manhattan,142.8,Annual,2015
Boiler Emissions- Total NOx Emissions,Number per km2,number,Borough,Queens,16.1,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Bronx,0.9,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Queens,0.2,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Staten Island,0.0,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Brooklyn,0.1,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,New York City,0.5,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Manhattan,3.7,Annual,2015
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Brooklyn,0.1,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Staten Island,0.0,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Queens,0.3,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Manhattan,5.9,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,Bronx,1.2,Annual,2013
Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,New York City,0.7,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Queens,1.4,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Staten Island,0.1,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Staten Island,0.1,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Manhattan,50.6,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Queens,2.2,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Bronx,10.3,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,New York City,6.1,Annual,2013
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Manhattan,26.8,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,New York City,3.5,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Brooklyn,0.7,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Bronx,6.3,Annual,2015
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,Brooklyn,0.8,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.5,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.27,Summer,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.81,Summer,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,10.09,Summer,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.32,Summer,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,11.05,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,12.63,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.69,Annual,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.81,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.73,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.7,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.1,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.35,Annual,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.63,Annual,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.92,Annual,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.02,Annual,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.54,Annual,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.44,Annual,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,9.75,Annual,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.94,Annual,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.2,Annual,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.82,Annual,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.8,Annual,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,9.2,Annual,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.61,Annual,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.14,Annual,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,10.05,Annual,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,14.13,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,11.53,Summer,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.9,Summer,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.93,Winter,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,11.68,Winter,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,12.1,Winter,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,14.76,Winter,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,12.62,Winter,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,13.85,Winter,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.07,Winter,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,9.38,Winter,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.98,Winter,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.97,Winter,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.17,Winter,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.95,Winter,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,12.56,Winter,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,15.34,Winter,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,12.88,Winter,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,7.72,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.3,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.88,Winter,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,6.4,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.53,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.79,Winter,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,7.0,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,11.82,Winter,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.32,Winter,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.8,Winter,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.42,Winter,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,10.06,Summer,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,11.85,Summer,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.42,Summer,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.51,Summer,2012
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,11.09,Summer,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,11.23,Summer,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,12.86,Summer,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,11.57,Summer,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,11.66,Summer,2011
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,11.43,Summer,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,13.41,Summer,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,11.96,Summer,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,12.12,Summer,2010
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,10.5,Summer,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,10.27,Summer,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,12.55,Summer,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.92,Summer,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.73,Summer,2009
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,9.72,Winter,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,9.9,Winter,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,12.83,Winter,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,10.33,Winter,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,11.16,Winter,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.44,Summer,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.36,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,11.86,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,6.82,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.46,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.17,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.75,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.59,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,8.97,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,9.49,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,9.45,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.8,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,7.76,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.42,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,7.75,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.29,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.4,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,9.1446,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,9.3688,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.5604,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.32,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,6.84,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.01,Winter,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.1,Summer,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.3,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.09,Summer,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,7.52,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,7.94,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.43,Summer,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,8.72,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,8.96,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.78,Summer,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.19,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,7.95,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.13,Summer,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,6.81,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.07,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.95,Summer,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,7.38,Annual,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,7.89,Winter,2017
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,7.45,Annual,2016
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.39,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.98,Annual,2013
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.68,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.89,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.27,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.84,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.85,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,11.78,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,11.23,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,7.19,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.32,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.23,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,12.5,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.53,Winter,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,8.46,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,9.74,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,9.6,Winter,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.93,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.53,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,11.88,Winter,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.41,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.85,Summer,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.27,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.09,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,9.21,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.35,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.93,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.79,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.19,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.03,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,9.46,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Brooklyn,8.74,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,10.21,Winter,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.9,Summer,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,9.24,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,7.25,Annual,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.61,Summer,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Bronx,8.28,Winter,2018
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,8.41,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Queens,8.6,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Manhattan,10.85,Annual,2014
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,Staten Island,7.69,Annual,2015
Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Citywide,New York City,8.2,Winter,2018
