forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,confidence_interval_lower_bound,confidence_interval_upper_bound
2022-01-01 00:00:00.000000 UTC,70261.842954579959,4601.3998525409752,0.8,64361.529380046224,76162.1565291137,64361.529380046224,76162.1565291137
2022-01-02 00:00:00.000000 UTC,51521.8918108584,6009.281832062793,0.8,43816.26997768099,59227.513644035804,43816.26997768099,59227.513644035804
2022-01-03 00:00:00.000000 UTC,65122.344972905572,6783.1256238446813,0.8,56424.433580997917,73820.25636481322,56424.433580997917,73820.25636481322
2022-01-04 00:00:00.000000 UTC,71194.022214966637,7486.9591532092682,0.8,61593.5944887681,80794.449941165163,61593.5944887681,80794.449941165163
2022-01-05 00:00:00.000000 UTC,76255.292681553081,8322.023652507849,0.8,65584.072901040519,86926.512462065642,65584.072901040519,86926.512462065642
2022-01-06 00:00:00.000000 UTC,77273.776670129126,8807.5803928874866,0.8,65979.93396653235,88567.6193737259,65979.93396653235,88567.6193737259
2022-01-07 00:00:00.000000 UTC,74157.742360278164,9570.6956216920753,0.8,61885.367190966048,86430.117529590279,61885.367190966048,86430.117529590279
2022-01-08 00:00:00.000000 UTC,67765.390357462136,10002.220463916157,0.8,54939.67664641967,80591.1040685046,54939.67664641967,80591.1040685046
2022-01-09 00:00:00.000000 UTC,53454.943649295077,10641.281463221589,0.8,39809.770554153511,67100.116744436644,39809.770554153511,67100.116744436644
2022-01-10 00:00:00.000000 UTC,63809.349021280192,11075.00447142972,0.8,49608.018705525668,78010.679337034715,49608.018705525668,78010.679337034715
2022-01-11 00:00:00.000000 UTC,71837.291997655586,11600.956826553147,0.8,56961.540001555448,86713.043993755724,56961.540001555448,86713.043993755724
2022-01-12 00:00:00.000000 UTC,76094.167962696854,12044.372641232596,0.8,60649.82978970289,91538.506135690812,60649.82978970289,91538.506135690812
2022-01-13 00:00:00.000000 UTC,77033.940951008655,12491.135400273692,0.8,61016.724859067777,93051.157042949533,61016.724859067777,93051.157042949533
2022-01-14 00:00:00.000000 UTC,74644.026090902509,12931.458065752287,0.8,58062.1901259759,91225.862055829115,58062.1901259759,91225.862055829115
2022-01-15 00:00:00.000000 UTC,67281.393010217071,13331.141666523288,0.8,50187.0481022032,84375.737918230938,50187.0481022032,84375.737918230938
2022-01-16 00:00:00.000000 UTC,54023.441100554293,13753.659948147755,0.8,36387.306643175172,71659.575557933422,36387.306643175172,71659.575557933422
2022-01-17 00:00:00.000000 UTC,63251.519332163996,14127.991054203849,0.8,45135.385097062164,81367.653567265836,45135.385097062164,81367.653567265836
2022-01-18 00:00:00.000000 UTC,72237.253876961709,14524.73913532217,0.8,53612.37487641639,90862.132877507029,53612.37487641639,90862.132877507029
2022-01-19 00:00:00.000000 UTC,75791.788549415083,14884.954780296586,0.8,56705.009838365731,94878.567260464435,56705.009838365731,94878.567260464435
2022-01-20 00:00:00.000000 UTC,77186.678014779842,15255.351928940412,0.8,57624.943987055522,96748.412042504162,57624.943987055522,96748.412042504162
2022-01-21 00:00:00.000000 UTC,74608.341639311257,15605.242385794529,0.8,54597.947751906169,94618.735526716337,54597.947751906169,94618.735526716337
2022-01-22 00:00:00.000000 UTC,67348.867270485091,15953.06690996127,0.8,46892.462641291619,87805.27189967857,46892.462641291619,87805.27189967857
2022-01-23 00:00:00.000000 UTC,54083.926513128514,16292.575723399726,0.8,33192.174266948758,74975.67875930827,33192.174266948758,74975.67875930827
2022-01-24 00:00:00.000000 UTC,63112.4928895755,16622.781080080578,0.8,41797.322724752594,84427.6630543984,41797.322724752594,84427.6630543984
2022-01-25 00:00:00.000000 UTC,72329.116652335651,16950.831284459935,0.8,50593.292091881551,94064.941212789752,50593.292091881551,94064.941212789752
2022-01-26 00:00:00.000000 UTC,75684.687449311343,17267.613749984444,0.8,53542.6569642675,97826.717934355183,53542.6569642675,97826.717934355183
2022-01-27 00:00:00.000000 UTC,77245.33821418263,17583.639879579048,0.8,54698.071644010321,99792.604784354946,54698.071644010321,99792.604784354946
2022-01-28 00:00:00.000000 UTC,74585.365739968649,17889.781315418528,0.8,51645.538095449927,97525.193384487371,51645.538095449927,97525.193384487371
2022-01-29 00:00:00.000000 UTC,67461.7518077996,18194.124985756785,0.8,44131.668339625692,90791.835275973513,44131.668339625692,90791.835275973513
2022-01-30 00:00:00.000000 UTC,54063.8124703333,18491.142606799574,0.8,30352.867273668933,77774.75766699767,30352.867273668933,77774.75766699767